Date,Open,High,Low,Close,Adj Close,Volume
1999-09-28,7.988106,8.401289,7.850379,29.250011,8.056975,637200
1999-09-29,7.988106,8.091399,7.919246,29.125002,8.022540,163900
1999-09-30,7.988106,8.056975,7.419989,27.749994,7.643793,499000
1999-10-01,7.643793,7.643793,7.437204,27.468756,7.566323,224100
1999-10-04,7.574934,7.574934,6.783009,26.124996,7.196183,1447200
1999-10-05,7.230617,7.747084,7.161749,28.031265,7.721269,374100
1999-10-06,7.747084,7.781521,7.437204,27.062508,7.454422,914100
1999-10-07,7.488856,7.488856,7.006813,25.999987,7.161749,976900
1999-10-08,7.196183,7.643793,7.196183,27.625015,7.609368,217900
1999-10-11,7.574934,7.643793,7.161749,26.437489,7.282260,540600
1999-10-12,7.428596,7.506065,7.265044,26.437489,7.282260,359700
1999-10-13,7.333911,7.471638,7.265044,26.937496,7.419989,123700
1999-10-14,7.437204,7.471638,7.265044,26.562498,7.316694,249000
1999-10-15,7.282260,7.488856,7.196183,26.562498,7.316694,517000
1999-10-18,7.385554,7.437204,7.265044,26.499992,7.299477,195300
1999-10-19,7.282260,7.402771,7.282260,26.593752,7.325304,229500
1999-10-20,7.385554,7.385554,7.213402,26.343765,7.256444,534100
1999-10-21,7.239227,7.316694,6.748576,26.499992,7.299477,530500
1999-10-22,7.402771,7.712661,7.368345,27.249985,7.506065,475200
1999-10-25,7.574934,7.988106,7.402771,28.437515,7.833169,1139400
1999-10-26,7.988106,8.590657,7.884813,30.062508,8.280779,2276700
1999-10-27,8.263560,8.539018,8.160269,31.000015,8.539018,635400
1999-10-28,8.539018,9.021051,8.470148,31.000015,8.539018,621600
1999-10-29,8.435715,8.573443,8.366855,30.624985,8.435715,278200
1999-11-01,8.504582,8.676735,8.211913,30.000006,8.263560,262800
1999-11-02,8.366855,8.366855,8.056975,29.749985,8.194694,192600
1999-11-03,8.143051,8.986624,8.078489,31.750008,8.745605,954000
1999-11-04,8.711169,8.780029,8.539018,31.000015,8.539018,174100
1999-11-05,8.539018,8.711169,8.539018,31.499989,8.676735,139600
1999-11-08,8.607877,8.711169,8.332421,30.312492,8.349637,91800
1999-11-09,8.401289,8.676735,8.229127,30.875008,8.504582,164700
1999-11-10,8.452931,8.676735,8.366855,31.250004,8.607877,107500
1999-11-11,8.607877,8.607877,8.332421,30.500010,8.401289,275500
1999-11-12,8.418505,8.418505,8.056975,29.625006,8.160269,374500
1999-11-15,8.091399,8.125836,7.953683,28.999992,7.988106,416400
1999-11-16,7.988106,8.366855,7.988106,30.125015,8.297997,89100
1999-11-17,8.263560,8.349637,8.229127,30.000006,8.263560,57600
1999-11-18,8.263560,8.263560,8.108620,29.625006,8.160269,110200
1999-11-19,8.143051,8.229127,8.108620,29.749985,8.194694,110200
1999-11-22,8.177484,8.229127,8.125836,29.687513,8.177484,128800
1999-11-23,8.203302,8.246346,7.712661,28.249998,7.781521,94000
1999-11-24,7.747084,7.850379,7.712661,28.249998,7.781521,159900
1999-11-26,7.712661,8.160269,7.712661,29.625006,8.160269,220600
1999-11-29,7.988106,8.504582,7.988106,30.312492,8.349637,271900
1999-11-30,8.366855,8.539018,8.263560,31.000015,8.539018,162900
1999-12-01,8.470148,8.573443,8.297997,30.437508,8.384075,222700
1999-12-02,8.401289,8.539018,8.332421,30.749994,8.470148,176400
1999-12-03,8.556228,8.745605,8.315203,30.187485,8.315203,228700
1999-12-06,8.297997,8.435715,8.280779,30.125015,8.297997,124200
1999-12-07,8.297997,8.590657,8.297997,31.187496,8.590657,115300
1999-12-08,8.504582,8.607877,7.850379,29.937498,8.246346,519700
1999-12-09,8.194694,8.366855,7.437204,27.249985,7.506065,990900
1999-12-10,7.523283,7.609368,7.368345,27.500008,7.574934,339000
1999-12-13,7.574934,7.643793,7.471638,27.125010,7.471638,1122700
1999-12-14,7.471638,7.850379,7.471638,27.500008,7.574934,420400
1999-12-15,7.540497,7.609368,7.437204,27.562511,7.592150,392100
1999-12-16,7.626575,7.626575,7.437204,27.500008,7.574934,220900
1999-12-17,7.678227,7.712661,7.437204,27.000000,7.437204,472600
1999-12-20,7.402771,7.678227,7.368345,27.500008,7.574934,377200
1999-12-21,7.506065,7.747084,7.402771,28.124989,7.747084,166200
1999-12-22,7.661009,8.022540,7.574934,28.750008,7.919246,370000
1999-12-23,7.815955,9.227648,7.815955,33.000008,9.089919,1825800
1999-12-27,8.883330,9.021051,8.780029,32.749985,9.021051,582000
1999-12-28,9.055483,9.055483,8.848898,32.562508,8.969408,162100
1999-12-29,8.883330,9.158777,8.745605,33.124985,9.124344,96000
1999-12-30,9.107136,9.107136,8.986624,32.687515,9.003843,83700
1999-12-31,9.038268,9.778546,8.986624,35.000000,9.640821,373900
2000-01-03,9.348158,9.391191,9.158777,33.624992,9.262073,1307400
2000-01-04,9.193213,9.296506,8.952193,32.937504,9.072701,532000
2000-01-05,9.055483,9.451451,8.986624,33.124985,9.124344,219300
2000-01-06,9.227648,9.227648,9.055483,33.062515,9.107136,903100
2000-01-07,9.107136,9.124344,8.952193,32.500000,8.952193,65400
2000-01-10,8.952193,9.038268,8.470148,31.468735,8.668128,706200
2000-01-11,8.607877,8.711169,8.435715,30.718742,8.461542,165300
2000-01-12,8.495975,8.573443,8.435715,30.624985,8.435715,973300
2000-01-13,8.556228,8.573443,8.539018,31.062487,8.556228,379300
2000-01-14,8.564834,8.728387,8.539018,31.375013,8.642310,748500
2000-01-18,8.642310,8.642310,8.452931,31.187496,8.590657,838500
2000-01-19,8.573443,8.642310,8.160269,29.812489,8.211913,309300
2000-01-20,8.332421,8.332421,8.056975,29.937498,8.246346,332200
2000-01-21,8.229127,8.366855,8.229127,30.249990,8.332421,811300
2000-01-24,8.366855,8.573443,8.297997,30.749994,8.470148,461700
